,productType,year,profit
382,주식형,2022,-27.2
383,단기금융,2022,1.18
384,주식형,2022,-4.8
385,재간접,2022,-38.79
386,주식형,2022,-23.08
387,혼합자산,2022,-11.54
388,재간접,2022,-21.25
389,재간접,2022,-29.88
390,주식형,2022,15.59
391,재간접,2022,-34.7
392,재간접,2022,-27.29
393,재간접,2022,-15.78
394,주식형,2022,-46.64
395,단기금융,2022,1.62
396,주식형,2022,-31.24
397,재간접,2022,8.91
398,주식형,2022,-43.78
399,주식형,2022,4.79
400,재간접,2022,-55.35
401,주식형,2022,-29.1
402,채권형,2022,-8.3
403,주식형,2022,-50.23
404,주식형,2022,-55.04
405,주식형,2022,4.47
406,채권형,2022,-11.61
407,재간접,2022,-29.99
408,재간접,2022,-30.18
409,부동산,2022,-23.63
410,재간접,2022,0.43
411,재간접,2022,-16.05
412,주식형,2022,-1.61
413,재간접,2022,-64.16
414,재간접,2022,-29.83
415,재간접,2022,-22.13
416,주식형,2022,-2.92
417,재간접,2022,-10.38
418,단기금융,2022,1.33
419,주식형,2022,-30.32
420,주식형,2022,-52.0
421,혼합채권형,2022,-9.1
422,재간접,2022,2.86
423,재간접,2022,-20.43
424,재간접,2022,-14.94
425,채권형,2022,-10.44
426,단기금융,2022,1.42
427,주식형,2022,-16.6
428,파생상품,2022,-41.29
429,재간접,2022,-14.88
430,재간접,2022,-38.18
431,혼합주식형,2022,-27.31
432,재간접,2022,-49.48
433,파생상품,2022,-39.57
434,주식형,2022,-26.48
435,재간접,2022,-35.49
436,주식형,2022,-17.32
437,주식형,2022,-42.67
438,주식형,2022,-19.25
439,주식형,2022,-92.54
440,주식형,2022,-55.12
441,재간접,2022,-7.1
442,파생상품,2022,-5.48
443,주식형,2022,-32.05
444,재간접,2022,-29.84
445,재간접,2022,-7.3
446,재간접,2022,-1.58
447,파생상품,2022,-24.65
448,혼합주식형,2022,-29.72
449,주식형,2022,-59.45
450,재간접,2022,-20.45
451,단기금융,2022,1.33
452,주식형,2022,-21.2
453,재간접,2022,-34.9
454,재간접,2022,-27.06
455,재간접,2022,-59.29
456,파생상품,2022,-25.06
457,주식형,2022,-30.52
458,채권형,2022,-11.88
459,재간접,2022,16.1
460,주식형,2022,-25.07
461,재간접,2022,-6.79
462,단기금융,2022,1.55
463,주식형,2022,-24.74
464,주식형,2022,-50.18
465,단기금융,2022,1.72
466,주식형,2022,-42.71
467,재간접,2022,-10.05
468,혼합채권형,2022,-3.39
469,주식형,2022,-52.43
470,주식형,2022,-26.15
471,재간접,2022,8.61
472,주식형,2022,-61.6
473,주식형,2022,-44.56
474,파생상품,2022,-43.12
475,재간접,2022,-0.07
476,재간접,2022,-12.79
477,재간접,2022,-17.19
478,주식형,2022,-50.7
479,혼합주식형,2022,-33.34
480,주식형,2022,-30.65
481,주식형,2022,-15.07
482,주식형,2022,-66.3
483,혼합채권형,2022,-21.42
484,주식형,2022,-32.16
485,재간접,2022,-23.69
486,재간접,2022,-7.83
487,재간접,2022,17.86
488,주식형,2022,-35.32
489,재간접,2022,-51.27
490,주식형,2022,-27.65
491,주식형,2022,-37.93
492,재간접,2022,-17.38
493,주식형,2022,-36.17
494,주식형,2022,-56.22
495,혼합채권형,2022,-3.28
496,혼합채권형,2022,-7.85
497,채권형,2022,0.96
498,재간접,2022,-21.68
499,주식형,2022,-21.17
500,재간접,2022,-34.74
501,혼합채권형,2022,-4.96
502,주식형,2022,-55.41
503,혼합채권형,2022,-5.75
504,채권형,2022,-7.16
505,재간접,2022,-31.76
506,주식형,2022,-53.28
507,파생상품,2022,-29.48
508,주식형,2022,-29.15
509,주식형,2022,-58.59
510,혼합자산,2022,-12.36
511,파생상품,2022,-39.03
512,채권형,2022,-0.35
513,재간접,2022,-10.61
514,주식형,2022,7.83
515,주식형,2022,-17.61
516,혼합채권형,2022,0.91
517,재간접,2022,-269.82
518,단기금융,2022,0.93
519,재간접,2022,-9.36
520,혼합채권형,2022,-6.47
521,재간접,2022,-39.43
522,재간접,2022,26.01
523,주식형,2022,-293.69
524,혼합주식형,2022,-51.15
525,주식형,2022,-34.2
526,재간접,2022,-3.26
527,재간접,2022,-16.07
528,채권형,2022,10.4
529,혼합채권형,2022,-9.58
530,재간접,2022,-10.06
531,주식형,2022,-35.34
532,혼합채권형,2022,-12.97
533,주식형,2022,-42.45
534,재간접,2022,-32.15
535,재간접,2022,-40.37
536,재간접,2022,-16.8
537,혼합채권형,2022,-17.14
538,혼합채권형,2022,-4.14
539,파생상품,2022,-33.4
540,주식형,2022,-28.56
541,주식형,2022,-45.55
542,재간접,2022,-17.03
543,재간접,2022,-3.46
544,재간접,2022,-7.79
545,재간접,2022,-14.86
546,재간접,2022,-23.57
547,재간접,2022,0.66
548,재간접,2022,16.6
549,혼합채권형,2022,-7.69
550,채권형,2022,-2.0
551,주식형,2022,-1.19
552,주식형,2022,-3.2
553,주식형,2022,-64.85
554,파생상품,2022,-48.14
555,혼합주식형,2022,-6.52
556,채권형,2022,-0.86
557,부동산,2022,-21.28
558,혼합자산,2022,-10.35
559,주식형,2022,-31.16
560,주식형,2022,-34.45
561,재간접,2022,-0.95
562,채권형,2022,0.89
563,재간접,2022,-17.12
564,재간접,2022,-15.9
565,주식형,2022,-2.5
566,채권형,2022,-1.16
567,재간접,2022,-10.86
568,주식형,2022,-18.32
569,혼합채권형,2022,-1.8
570,재간접,2022,-12.43
571,재간접,2022,-11.77
572,주식형,2022,-31.35
573,재간접,2022,-17.43
574,재간접,2022,-15.34
575,재간접,2022,5.57
576,재간접,2022,-18.39
577,재간접,2022,-16.01
578,주식형,2022,-43.46
579,주식형,2022,-25.48
